OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(800588k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8a870,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7651K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 853K, capacity 948K, committed 1024K, reserved 1048576K
.775: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133104K->2024K(316928K), 0.0020652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.061: [GC (Allocation Failure) [PSYoungGen: 385632K->32K(463360K)] 387800K->2200K(638464K), 0.0012988 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.489: [GC (Allocation Failure) [PSYoungGen: 462880K->96K(443392K)] 465048K->2264K(618496K), 0.0024353 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
33.851: [GC (Allocation Failure) [PSYoungGen: 442976K->96K(424448K)] 445144K->2264K(599552K), 0.0005630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.177: [GC (Allocation Failure) [PSYoungGen: 424032K->64K(406528K)] 426200K->2232K(581632K), 0.0006341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.497: [GC (Allocation Failure) [PSYoungGen: 406080K->32K(389120K)] 408248K->2200K(564224K), 0.0008985 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
34.845: [GC (Allocation Failure) [PSYoungGen: 388640K->96K(372736K)] 390808K->2264K(547840K), 0.0005562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.123: [GC (Allocation Failure) [PSYoungGen: 372320K->0K(357376K)] 374488K->2168K(532480K), 0.0005190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.383: [GC (Allocation Failure) [PSYoungGen: 356864K->96K(342528K)] 359032K->2264K(517632K), 0.0005144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.654: [GC (Allocation Failure) [PSYoungGen: 342112K->96K(328192K)] 344280K->2264K(503296K), 0.0005281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.884: [GC (Allocation Failure) [PSYoungGen: 327776K->96K(314880K)] 329944K->2264K(489984K), 0.0005131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.113: [GC (Allocation Failure) [PSYoungGen: 314464K->96K(302080K)] 316632K->2264K(477184K), 0.0005534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.327: [GC (Allocation Failure) [PSYoungGen: 301664K->96K(289792K)] 303832K->2264K(464896K), 0.0005139 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.534: [GC (Allocation Failure) [PSYoungGen: 289376K->96K(278016K)] 291544K->2264K(453120K), 0.0005411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.729: [GC (Allocation Failure) [PSYoungGen: 277600K->64K(267264K)] 279768K->2232K(442368K), 0.0005092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.910: [GC (Allocation Failure) [PSYoungGen: 266816K->32K(257024K)] 268984K->2200K(432128K), 0.0006119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.086: [GC (Allocation Failure) [PSYoungGen: 256544K->96K(247296K)] 258712K->2264K(422400K), 0.0005158 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.260: [GC (Allocation Failure) [PSYoungGen: 246880K->96K(237568K)] 249048K->2264K(412672K), 0.0005716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.429: [GC (Allocation Failure) [PSYoungGen: 237152K->64K(228352K)] 239320K->2232K(403456K), 0.0005166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.592: [GC (Allocation Failure) [PSYoungGen: 227904K->64K(219648K)] 230072K->2232K(394752K), 0.0005465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.744: [GC (Allocation Failure) [PSYoungGen: 219200K->128K(211456K)] 221368K->2296K(386560K), 0.0005643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.887: [GC (Allocation Failure) [PSYoungGen: 211072K->64K(203776K)] 213240K->2232K(378880K), 0.0005711 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.024: [GC (Allocation Failure) [PSYoungGen: 203328K->64K(196096K)] 205496K->2232K(371200K), 0.0005830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.157: [GC (Allocation Failure) [PSYoungGen: 195648K->96K(188928K)] 197816K->2264K(364032K), 0.0005989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.289: [GC (Allocation Failure) [PSYoungGen: 188512K->96K(182272K)] 190680K->2264K(357376K), 0.0004946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.413: [GC (Allocation Failure) [PSYoungGen: 181856K->64K(175616K)] 184024K->2232K(350720K), 0.0005535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.530: [GC (Allocation Failure) [PSYoungGen: 175168K->96K(169472K)] 177336K->2264K(344576K), 0.0005383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.644: [GC (Allocation Failure) [PSYoungGen: 169056K->64K(163840K)] 171224K->2232K(338944K), 0.0005174 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.756: [GC (Allocation Failure) [PSYoungGen: 163392K->64K(158208K)] 165560K->2232K(333312K), 0.0008435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.864: [GC (Allocation Failure) [PSYoungGen: 157760K->0K(153088K)] 159928K->2168K(328192K), 0.0005148 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.966: [GC (Allocation Failure) [PSYoungGen: 152576K->64K(147968K)] 154744K->2232K(323072K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.065: [GC (Allocation Failure) [PSYoungGen: 147520K->96K(143360K)] 149688K->2264K(318464K), 0.0004986 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.162: [GC (Allocation Failure) [PSYoungGen: 142944K->64K(138752K)] 145112K->2232K(313856K), 0.0005464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.258: [GC (Allocation Failure) [PSYoungGen: 138304K->64K(134144K)] 140472K->2232K(309248K), 0.0005034 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.348: [GC (Allocation Failure) [PSYoungGen: 133696K->96K(130048K)] 135864K->2264K(305152K), 0.0005182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.434: [GC (Allocation Failure) [PSYoungGen: 129632K->32K(125952K)] 131800K->2200K(301056K), 0.0004975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.518: [GC (Allocation Failure) [PSYoungGen: 125472K->32K(121856K)] 127640K->2200K(296960K), 0.0010325 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
39.600: [GC (Allocation Failure) [PSYoungGen: 121376K->64K(118272K)] 123544K->2232K(293376K), 0.0006803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.680: [GC (Allocation Failure) [PSYoungGen: 117824K->64K(114688K)] 119992K->2232K(289792K), 0.0005011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.759: [GC (Allocation Failure) [PSYoungGen: 114240K->64K(111104K)] 116408K->2232K(286208K), 0.0005669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.837: [GC (Allocation Failure) [PSYoungGen: 110656K->32K(108032K)] 112824K->2200K(283136K), 0.0005293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.912: [GC (Allocation Failure) [PSYoungGen: 107552K->96K(104960K)] 109720K->2264K(280064K), 0.0005116 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.985: [GC (Allocation Failure) [PSYoungGen: 104544K->64K(101888K)] 106712K->2232K(276992K), 0.0004989 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
40.057: [GC (Allocation Failure) [PSYoungGen: 101440K->96K(98816K)] 103608K->2264K(273920K), 0.0005076 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
40.128: [GC (Allocation Failure) [PSYoungGen: 98400K->96K(96256K)] 100568K->2264K(271360K), 0.0005211 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
40.195: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 98008K->2264K(268800K), 0.0005047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.263: [GC (Allocation Failure) [PSYoungGen: 93280K->96K(91136K)] 95448K->2264K(266240K), 0.0005638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.327: [GC (Allocation Failure) [PSYoungGen: 90720K->96K(88576K)] 92888K->2288K(263680K), 0.0005937 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
40.392: [GC (Allocation Failure) [PSYoungGen: 88160K->64K(804352K)] 90352K->2256K(979456K), 0.0010926 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.183: [GC (Allocation Failure) [PSYoungGen: 803904K->96K(767488K)] 806096K->2288K(942592K), 0.0005640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.774: [GC (Allocation Failure) [PSYoungGen: 767072K->64K(732160K)] 769264K->2256K(907264K), 0.0005638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.520: [GC (Allocation Failure) [PSYoungGen: 731712K->64K(698880K)] 733904K->2256K(873984K), 0.0005899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.058: [GC (Allocation Failure) [PSYoungGen: 698432K->96K(667136K)] 700624K->2288K(842240K), 0.0010671 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
43.586: [GC (Allocation Failure) [PSYoungGen: 666720K->96K(636928K)] 668912K->2288K(812032K), 0.0005438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.125: [GC (Allocation Failure) [PSYoungGen: 636512K->96K(608256K)] 638704K->2288K(783360K), 0.0005322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.616: [GC (Allocation Failure) [PSYoungGen: 607840K->96K(581120K)] 610032K->2288K(756224K), 0.0005388 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.025: [GC (Allocation Failure) [PSYoungGen: 580704K->96K(555520K)] 582896K->2288K(730624K), 0.0005387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.521: [GC (Allocation Failure) [PSYoungGen: 555104K->64K(530944K)] 557296K->2264K(706048K), 0.0005227 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
45.894: [GC (Allocation Failure) [PSYoungGen: 530496K->64K(507392K)] 532696K->2264K(682496K), 0.0005671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.279: [GC (Allocation Failure) [PSYoungGen: 506944K->64K(485376K)] 509144K->2264K(660480K), 0.0010876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.676: [GC (Allocation Failure) [PSYoungGen: 484928K->32K(464384K)] 487128K->2232K(639488K), 0.0005407 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
47.010: [GC (Allocation Failure) [PSYoungGen: 463904K->64K(444416K)] 466104K->2264K(619520K), 0.0005404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.360: [GC (Allocation Failure) [PSYoungGen: 443968K->64K(425472K)] 446168K->2264K(600576K), 0.0015781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.690: [GC (Allocation Failure) [PSYoungGen: 425024K->0K(407552K)] 427224K->2200K(582656K), 0.0005744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.982: [GC (Allocation Failure) [PSYoungGen: 407040K->96K(390144K)] 409240K->2296K(565248K), 0.0005436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.254: [GC (Allocation Failure) [PSYoungGen: 389728K->64K(373760K)] 391928K->2264K(548864K), 0.0005543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.552: [GC (Allocation Failure) [PSYoungGen: 373312K->96K(357888K)] 375512K->2296K(532992K), 0.0005893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.814: [GC (Allocation Failure) [PSYoungGen: 357472K->96K(343040K)] 359672K->2296K(518144K), 0.0005334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.055: [GC (Allocation Failure) [PSYoungGen: 342624K->96K(328704K)] 344824K->2296K(503808K), 0.0005218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.283: [GC (Allocation Failure) [PSYoungGen: 328288K->64K(315392K)] 330488K->2264K(490496K), 0.0005699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.505: [GC (Allocation Failure) [PSYoungGen: 314944K->96K(302592K)] 317144K->2296K(477696K), 0.0005504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.716: [GC (Allocation Failure) [PSYoungGen: 302176K->64K(290304K)] 304376K->2264K(465408K), 0.0005230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.912: [GC (Allocation Failure) [PSYoungGen: 289856K->64K(278528K)] 292056K->2264K(453632K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.101: [GC (Allocation Failure) [PSYoungGen: 278080K->96K(267776K)] 280280K->2296K(442880K), 0.0005489 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.302: [GC (Allocation Failure) [PSYoungGen: 267360K->96K(257536K)] 269560K->2296K(432640K), 0.0005847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.509: [GC (Allocation Failure) [PSYoungGen: 257120K->64K(247296K)] 259320K->2288K(422400K), 0.0011064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.729: [GC (Allocation Failure) [PSYoungGen: 246848K->64K(237568K)] 249072K->2288K(412672K), 0.0007750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.896: [GC (Allocation Failure) [PSYoungGen: 237120K->96K(228352K)] 239344K->2320K(403456K), 0.0005338 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
51.058: [GC (Allocation Failure) [PSYoungGen: 227936K->96K(219648K)] 230160K->2320K(394752K), 0.0005462 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.216: [GC (Allocation Failure) [PSYoungGen: 219232K->64K(211456K)] 221456K->2288K(386560K), 0.0005748 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
51.369: [GC (Allocation Failure) [PSYoungGen: 211008K->64K(203776K)] 213232K->2288K(378880K), 0.0005704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.526: [GC (Allocation Failure) [PSYoungGen: 203328K->64K(196096K)] 205552K->2288K(371200K), 0.0005779 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
51.691: [GC (Allocation Failure) [PSYoungGen: 195648K->64K(188928K)] 197872K->2288K(364032K), 0.0005687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.831: [GC (Allocation Failure) [PSYoungGen: 188480K->96K(182272K)] 190704K->2320K(357376K), 0.0005521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.962: [GC (Allocation Failure) [PSYoungGen: 181856K->96K(175616K)] 184080K->2320K(350720K), 0.0006032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.095: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 177424K->2320K(344576K), 0.0005784 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.244: [GC (Allocation Failure) [PSYoungGen: 169056K->64K(163840K)] 171280K->2288K(338944K), 0.0011739 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
52.367: [GC (Allocation Failure) [PSYoungGen: 163392K->32K(158208K)] 165616K->2256K(333312K), 0.0005279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.484: [GC (Allocation Failure) [PSYoungGen: 157728K->96K(153088K)] 159952K->2320K(328192K), 0.0006134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.597: [GC (Allocation Failure) [PSYoungGen: 152672K->64K(147968K)] 154896K->2288K(323072K), 0.0005393 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.704: [GC (Allocation Failure) [PSYoungGen: 147520K->32K(143360K)] 149744K->2256K(318464K), 0.0007955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.817: [GC (Allocation Failure) [PSYoungGen: 142880K->96K(138752K)] 145104K->2320K(313856K), 0.0007496 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
52.926: [GC (Allocation Failure) [PSYoungGen: 138336K->96K(134144K)] 140560K->2320K(309248K), 0.0006063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.044: [GC (Allocation Failure) [PSYoungGen: 133728K->64K(130048K)] 135952K->2288K(305152K), 0.0012840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.145: [GC (Allocation Failure) [PSYoungGen: 129600K->64K(125952K)] 131824K->2288K(301056K), 0.0011225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.236: [GC (Allocation Failure) [PSYoungGen: 125504K->96K(121856K)] 127728K->2320K(296960K), 0.0005524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.323: [GC (Allocation Failure) [PSYoungGen: 121440K->64K(118272K)] 123664K->2288K(293376K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.426: [GC (Allocation Failure) [PSYoungGen: 117824K->64K(114688K)] 120048K->2288K(289792K), 0.0005696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.534: [GC (Allocation Failure) [PSYoungGen: 114240K->64K(111104K)] 116464K->2288K(286208K), 0.0011497 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
53.618: [GC (Allocation Failure) [PSYoungGen: 110656K->96K(108032K)] 112880K->2320K(283136K), 0.0005712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.698: [GC (Allocation Failure) [PSYoungGen: 107616K->0K(104960K)] 109840K->2224K(280064K), 0.0005465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.777: [GC (Allocation Failure) [PSYoungGen: 104448K->96K(101888K)] 106672K->2320K(276992K), 0.0005640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.852: [GC (Allocation Failure) [PSYoungGen: 101472K->64K(98816K)] 103696K->2288K(273920K), 0.0006068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.927: [GC (Allocation Failure) [PSYoungGen: 98368K->96K(96256K)] 100592K->2320K(271360K), 0.0005604 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
54.006: [GC (Allocation Failure) [PSYoungGen: 95840K->96K(93696K)] 98064K->2320K(268800K), 0.0005621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.082: [GC (Allocation Failure) [PSYoungGen: 93280K->96K(91136K)] 95504K->2320K(266240K), 0.0005632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.150: [GC (Allocation Failure) [PSYoungGen: 90720K->96K(88576K)] 92944K->2320K(263680K), 0.0005597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.219: [GC (Allocation Failure) [PSYoungGen: 88160K->64K(804352K)] 90384K->2288K(979456K), 0.0008717 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.933: [GC (Allocation Failure) [PSYoungGen: 803904K->32K(767488K)] 806128K->2256K(942592K), 0.0005919 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.542: [GC (Allocation Failure) [PSYoungGen: 767008K->64K(732160K)] 769232K->2288K(907264K), 0.0017646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.183: [GC (Allocation Failure) [PSYoungGen: 731712K->96K(698880K)] 733936K->2320K(873984K), 0.0006414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.781: [GC (Allocation Failure) [PSYoungGen: 698464K->96K(667136K)] 700688K->2320K(842240K), 0.0005760 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.647: [GC (Allocation Failure) [PSYoungGen: 666720K->96K(636928K)] 668944K->2320K(812032K), 0.0010445 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
58.469: [GC (Allocation Failure) [PSYoungGen: 636512K->96K(608256K)] 638736K->2320K(783360K), 0.0006738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.981: [GC (Allocation Failure) [PSYoungGen: 607840K->96K(581120K)] 610064K->2320K(756224K), 0.0005603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.554: [GC (Allocation Failure) [PSYoungGen: 580704K->96K(555520K)] 582928K->2320K(730624K), 0.0005448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.028: [GC (Allocation Failure) [PSYoungGen: 555104K->96K(530944K)] 557328K->2320K(706048K), 0.0005543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.442: [GC (Allocation Failure) [PSYoungGen: 530528K->160K(507392K)] 532752K->2384K(682496K), 0.0005955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.810: [GC (Allocation Failure) [PSYoungGen: 507040K->0K(485376K)] 509264K->2256K(660480K), 0.0005665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.159: [GC (Allocation Failure) [PSYoungGen: 484864K->96K(464384K)] 487120K->2352K(639488K), 0.0005356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.500: [GC (Allocation Failure) [PSYoungGen: 463968K->96K(444416K)] 466224K->2352K(619520K), 0.0005610 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
61.893: [GC (Allocation Failure) [PSYoungGen: 444000K->96K(425472K)] 446256K->2352K(600576K), 0.0005027 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
62.185: [GC (Allocation Failure) [PSYoungGen: 425056K->96K(407552K)] 427312K->2352K(582656K), 0.0005307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.529: [GC (Allocation Failure) [PSYoungGen: 407136K->96K(390144K)] 409392K->2352K(565248K), 0.0005324 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.821: [GC (Allocation Failure) [PSYoungGen: 389728K->64K(373760K)] 391984K->2320K(548864K), 0.0010771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.106: [GC (Allocation Failure) [PSYoungGen: 373312K->64K(357888K)] 375568K->2320K(532992K), 0.0010865 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.377: [GC (Allocation Failure) [PSYoungGen: 357440K->64K(343040K)] 359696K->2320K(518144K), 0.0011234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.647: [GC (Allocation Failure) [PSYoungGen: 342592K->96K(328704K)] 344848K->2352K(503808K), 0.0037878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.907: [GC (Allocation Failure) [PSYoungGen: 328288K->64K(315392K)] 330544K->2320K(490496K), 0.0005502 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.146: [GC (Allocation Failure) [PSYoungGen: 314944K->64K(302592K)] 317200K->2320K(477696K), 0.0006512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.369: [GC (Allocation Failure) [PSYoungGen: 302144K->96K(290304K)] 304400K->2352K(465408K), 0.0008605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.586: [GC (Allocation Failure) [PSYoungGen: 289888K->64K(278528K)] 292144K->2320K(453632K), 0.0005657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.793: [GC (Allocation Failure) [PSYoungGen: 278080K->96K(267776K)] 280336K->2352K(442880K), 0.0005402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.007: [GC (Allocation Failure) [PSYoungGen: 267360K->64K(257536K)] 269616K->2320K(432640K), 0.0011803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.212: [GC (Allocation Failure) [PSYoungGen: 257088K->64K(247296K)] 259344K->2320K(422400K), 0.0009522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.393: [GC (Allocation Failure) [PSYoungGen: 246848K->64K(237568K)] 249104K->2320K(412672K), 0.0005665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.568: [GC (Allocation Failure) [PSYoungGen: 237120K->96K(228352K)] 239376K->2352K(403456K), 0.0005517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.736: [GC (Allocation Failure) [PSYoungGen: 227936K->96K(219648K)] 230192K->2352K(394752K), 0.0005317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.911: [GC (Allocation Failure) [PSYoungGen: 219232K->64K(211456K)] 221488K->2320K(386560K), 0.0009775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.091: [GC (Allocation Failure) [PSYoungGen: 211008K->64K(203776K)] 213264K->2320K(378880K), 0.0005647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.235: [GC (Allocation Failure) [PSYoungGen: 203328K->32K(196096K)] 205584K->2288K(371200K), 0.0005429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.384: [GC (Allocation Failure) [PSYoungGen: 195616K->96K(188928K)] 197872K->2352K(364032K), 0.0006486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.522: [GC (Allocation Failure) [PSYoungGen: 188512K->64K(182272K)] 190768K->2320K(357376K), 0.0005307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.653: [GC (Allocation Failure) [PSYoungGen: 181824K->96K(175616K)] 184080K->2352K(350720K), 0.0005515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.777: [GC (Allocation Failure) [PSYoungGen: 175200K->96K(169472K)] 177456K->2352K(344576K), 0.0006001 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
66.899: [GC (Allocation Failure) [PSYoungGen: 169056K->96K(163840K)] 171312K->2352K(338944K), 0.0005385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.017: [GC (Allocation Failure) [PSYoungGen: 163424K->96K(158208K)] 165680K->2352K(333312K), 0.0005725 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.134: [GC (Allocation Failure) [PSYoungGen: 157792K->96K(153088K)] 160048K->2352K(328192K), 0.0005506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.243: [GC (Allocation Failure) [PSYoungGen: 152672K->96K(147968K)] 154928K->2352K(323072K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.350: [GC (Allocation Failure) [PSYoungGen: 147552K->32K(143360K)] 149808K->2288K(318464K), 0.0009108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
